chr	probe_start	probe_end	TargetID	DesignName	side	gene_name
chr1	1509552	1509672	SSU72:1510262:NM_014188_refseq	Design4_Design5	L	SSU72
chr1	1510593	1510713	SSU72:1510262:NM_014188_refseq	Design4_Design5	R	SSU72
chr1	1534608	1534728	C1orf233:1535476:NM_001242659_refseq	Design4_Design5	L	C1orf233
chr1	1536215	1536335	C1orf233:1535476:NM_001242659_refseq	Design4_Design5	R	C1orf233
chr1	1550912	1551032	MIB2:1550794:NM_001170686_refseq	Design4_Design5	R	MIB2
chr1	1567186	1567306	MMP23B:1567559:NM_006983_refseq	Design4_Design5	L	MMP23B
chr1	1569050	1569170	MMP23A:1568158:NR_002946_refseq__MMP23B:1567559:NM_006983_refseq	Design4_Design5	R	MMP23A
chr1	1624569	1624689	SLC35E2B:1624243:NM_001110781_refseq	Design4_Design5	R	SLC35E2B
chr1	1632269	1632389	MMP23A:1631377:NR_002946_refseq	Design4_Design5	R	MMP23A
chr1	1656108	1656228	CDK11A:1655791:NM_024011_refseq__CDK11B:1655859:NM_001291345_refseq	Design4_Design5	R	CDK11A
chr1	1677835	1677955	SLC35E2:1677438:NM_001199787_refseq	Design4_Design5	R	SLC35E2
chr1	1689196	1689316	NADK:1690081:NM_001198995_refseq	Design4_Design5	L	NADK
chr1	1690966	1691086	NADK:1690081:NM_001198995_refseq	Design4_Design5	R	NADK
chr1	1710395	1710515	NADK:1710297:NM_001198993_refseq	Design4_Design5	R	NADK
chr1	1821299	1821419	GNB1:1822556:NM_001282538_refseq	Design4_Design5	L	GNB1
chr1	1850131	1850251	TMEM52:1850740:NM_178545_refseq	Design4_Design5	L	TMEM52
chr1	1936655	1936775	CFAP74:1935276:NM_001080484_refseq	Design4_Design5	R	CFAP74
chr1	1950287	1950407	GABRD:1950767:NM_000815_refseq	Design4_Design5	L	GABRD
chr1	1951546	1951666	GABRD:1950767:NM_000815_refseq	Design4_Design5	R	GABRD
chr1	1981193	1981313	PRKCZ:1981908:NM_002744_refseq	Design4_Design5	L	PRKCZ
chr1	1982911	1983031	PRKCZ:1981908:NM_002744_refseq	Design4_Design5	R	PRKCZ
chr1	2006604	2006724	PRKCZ:2005085:NM_001033581_refseq	Design4_Design5	R	PRKCZ
chr1	2034166	2034286	PRKCZ:2036154:NM_001033582_refseq	Design4_Design5	L	PRKCZ
chr1	2036323	2036443	PRKCZ:2036154:NM_001033582_refseq	Design4_Design5	R	PRKCZ
chr1	2125478	2125598	C1orf86:2126214:NM_001256945_refseq	Design4_Design5	L	C1orf86
chr1	2126821	2126941	C1orf86:2126214:NM_001256945_refseq	Design4_Design5	R	C1orf86
chr1	2138378	2138498	C1orf86:2139172:NM_001146310_refseq	Design4_Design5	L	C1orf86
chr1	2140958	2141078	C1orf86:2139172:NM_001146310_refseq	Design4_Design5	R	C1orf86
chr1	2143892	2144012	C1orf86:2144159:NM_001282670_refseq	Design4_Design5	L	C1orf86
chr1	2158485	2158605	SKI:2160133:NM_003036_refseq	Design4_Design5	L	SKI
chr1	2160502	2160622	SKI:2160133:NM_003036_refseq	Design4_Design5	R	SKI
chr1	2316288	2316408	rs12565955:2316583:rs12565955_HepG2_C_gwas	Design4_Design5	L	rs12565955
chr1	2317278	2317398	rs12565955:2316583:rs12565955_HepG2_C_gwas	Design4_Design5	R	rs12565955
chr1	2322834	2322954	MORN1:2323190:NM_001301060_refseq__RER1:2323213:NM_007033_refseq	Design4_Design5	L	MORN1
chr1	2323785	2323905	MORN1:2323190:NM_001301060_refseq__RER1:2323213:NM_007033_refseq	Design4_Design5	R	MORN1
chr1	2343461	2343581	PEX10:2344010:NM_002617_refseq	Design4_Design5	L	PEX10
chr1	2344685	2344805	PEX10:2344010:NM_002617_refseq	Design4_Design5	R	PEX10
chr1	2397103	2397223	PLCH2:2398897:NM_001303012_refseq	Design4_Design5	L	PLCH2
chr1	2399001	2399121	PLCH2:2398897:NM_001303012_refseq	Design4_Design5	R	PLCH2
chr1	2407364	2407484	PLCH2:2407753:NM_001303013_refseq	Design4_Design5	L	PLCH2
chr1	2408179	2408299	PLCH2:2407753:NM_001303013_refseq	Design4_Design5	R	PLCH2
chr1	2460436	2460556	HES5:2461684:NM_001010926_refseq	Design4_Design5	L	HES5
chr1	2462119	2462239	HES5:2461684:NM_001010926_refseq	Design4_Design5	R	HES5
chr1	2485419	2485539	TNFRSF14:2487803:NM_001297605_refseq	Design4_Design5	L	TNFRSF14
chr1	2488024	2488144	TNFRSF14:2487803:NM_001297605_refseq	Design4_Design5	R	TNFRSF14
chr1	2563344	2563464	MMEL1:2564481:NM_033467_refseq	Design4_Design5	L	MMEL1
chr1	2564716	2564836	MMEL1:2564481:NM_033467_refseq	Design4_Design5	R	MMEL1
chr1	2704700	2704820	TTC34:2706230:NM_001242672_refseq	Design4_Design5	L	TTC34
chr1	2708169	2708289	TTC34:2706230:NM_001242672_refseq	Design4_Design5	R	TTC34
chr1	2937189	2937309	ACTRT2:2938045:NM_080431_refseq	Design4_Design5	L	ACTRT2
chr1	2938056	2938176	ACTRT2:2938045:NM_080431_refseq	Design4_Design5	R	ACTRT2
chr1	2985198	2985318	LINC00982:2984289:NR_015440_refseq__PRDM16:2985741:NM_022114_refseq	Design4_Design5	R	LINC00982
chr1	2985314	2985434	PRDM16:2985741:NM_022114_refseq	Design4_Design5	L	PRDM16
chr1	3044160	3044280	MIR4251:3044538:NR_036215_refseq	Design4_Design5	L	MIR4251
chr1	3044546	3044666	MIR4251:3044538:NR_036215_refseq	Design4_Design5	R	MIR4251
chr1	3301343	3301463	rs868688:3300807:rs868688_All_gwas	Design4_Design5	R	rs868688
chr1	3370215	3370335	ARHGEF16:3371146:NM_014448_refseq	Design4_Design5	L	ARHGEF16
chr1	3373434	3373554	ARHGEF16:3371146:NM_014448_refseq	Design4_Design5	R	ARHGEF16
chr1	3477195	3477315	MIR551A:3477354:NR_030277_refseq	Design4_Design5	L	MIR551A
chr1	3478401	3478521	MIR551A:3477354:NR_030277_refseq	Design4_Design5	R	MIR551A
chr1	3526029	3526149	MEGF6:3528059:NM_001409_refseq	Design4_Design5	L	MEGF6
chr1	3528369	3528489	MEGF6:3528059:NM_001409_refseq	Design4_Design5	R	MEGF6
chr1	3541068	3541188	TPRG1L:3541555:NM_182752_refseq	Design4_Design5	L	TPRG1L
chr1	3541936	3542056	TPRG1L:3541555:NM_182752_refseq	Design4_Design5	R	TPRG1L
chr1	3565223	3565343	WRAP73:3566671:NM_017818_refseq	Design4_Design5	L	WRAP73
chr1	3569200	3569320	TP73:3569128:NM_001204184_refseq	Design4_Design5	R	TP73
chr1	3606961	3607081	TP73:3607235:NM_001126240_refseq	Design4_Design5	L	TP73
chr1	3607290	3607410	TP73:3607235:NM_001126240_refseq	Design4_Design5	R	TP73
chr1	3614117	3614237	TP73:3614609:NM_001204192_refseq	Design4_Design5	L	TP73
chr1	3615007	3615127	TP73:3614609:NM_001204192_refseq	Design4_Design5	R	TP73
chr1	3663602	3663722	TP73-AS1:3663937:NR_033708_refseq	Design4_Design5	L	TP73-AS1
chr1	3663960	3664080	TP73-AS1:3663937:NR_033708_refseq	Design4_Design5	R	TP73-AS1
chr1	3668977	3669097	CCDC27:3668964:NM_152492_refseq	Design4_Design5	R	CCDC27
chr1	3688228	3688348	SMIM1:3689324:NM_001163724_refseq	Design4_Design5	L	SMIM1
chr1	3689477	3689597	SMIM1:3689324:NM_001163724_refseq	Design4_Design5	R	SMIM1
chr1	3712110	3712230	LRRC47:3713068:NM_020710_refseq	Design4_Design5	L	LRRC47
chr1	3773167	3773287	CEP104:3773797:NM_014704_refseq__DFFB:3773830:NM_001282669_refseq	Design4_Design5	L	CEP104
chr1	3773916	3774036	CEP104:3773797:NM_014704_refseq__DFFB:3773830:NM_001282669_refseq	Design4_Design5	R	CEP104
chr1	3816097	3816217	C1orf174:3816857:NM_207356_refseq__LINC01134:3816967:NR_024455_refseq	Design4_Design5	L	C1orf174
chr1	3819186	3819306	C1orf174:3816857:NM_207356_refseq__LINC01134:3816967:NR_024455_refseq	Design4_Design5	R	C1orf174
chr1	3999474	3999594	LINC01346:4000671:NR_040065_refseq	Design4_Design5	L	LINC01346
chr1	4001006	4001126	LINC01346:4000671:NR_040065_refseq	Design4_Design5	R	LINC01346
chr1	4714918	4715038	AJAP1:4715104:NM_001042478_refseq	Design4_Design5	L	AJAP1
chr1	4716524	4716644	AJAP1:4715104:NM_001042478_refseq	Design4_Design5	R	AJAP1
chr1	5623836	5623956	MIR4417:5624130:NR_039612_refseq	Design4_Design5	L	MIR4417
chr1	5624285	5624405	MIR4417:5624130:NR_039612_refseq	Design4_Design5	R	MIR4417
chr1	5922546	5922666	MIR4689:5922801:NR_039838_refseq	Design4_Design5	L	MIR4689
chr1	5923271	5923391	MIR4689:5922801:NR_039838_refseq	Design4_Design5	R	MIR4689
chr1	5975683	5975803	RF13187_Intron_L1:5976374:RF13187_Intron_L1_intron_negctrls	Design4_Design5	L	RF13187_Intron_L1
chr1	5976983	5977103	RF13187_Intron_L1:5976374:RF13187_Intron_L1_intron_negctrls	Design4_Design5	R	RF13187_Intron_L1
chr1	6052691	6052811	KCNAB2:6052357:NM_001199861_refseq__NPHP4:6052533:NM_001291593_refseq	Design4_Design5	R	KCNAB2
chr1	6086408	6086528	KCNAB2:6086072:NM_003636_refseq	Design4_Design5	R	KCNAB2
chr1	6094127	6094247	KCNAB2:6094347:NM_001199860_refseq	Design4_Design5	L	KCNAB2
chr1	6105072	6105192	KCNAB2:6105980:NM_001199862_refseq	Design4_Design5	L	KCNAB2
chr1	6106050	6106170	KCNAB2:6105980:NM_001199862_refseq	Design4_Design5	R	KCNAB2
chr1	6238467	6238587	CHD5:6240194:NM_015557_refseq	Design4_Design5	L	CHD5
chr1	6240917	6241037	CHD5:6240194:NM_015557_refseq	Design4_Design5	R	CHD5
chr1	6259465	6259585	RPL22:6259679:NM_000983_refseq	Design4_Design5	L	RPL22
chr1	6259762	6259882	RPL22:6259679:NM_000983_refseq	Design4_Design5	R	RPL22
chr1	6265909	6266029	RNF207:6266188:NM_207396_refseq	Design4_Design5	L	RNF207
chr1	6294895	6295015	ICMT:6296044:NM_012405_refseq__LINC00337:6296299:NR_103534_refseq	Design4_Design5	L	ICMT
chr1	6303496	6303616	HES3:6304251:NM_001024598_refseq	Design4_Design5	L	HES3
chr1	6304427	6304547	HES3:6304251:NM_001024598_refseq	Design4_Design5	R	HES3
chr1	6320611	6320731	GPR153:6321035:NM_207370_refseq	Design4_Design5	L	GPR153
chr1	6321926	6322046	GPR153:6321035:NM_207370_refseq	Design4_Design5	R	GPR153
chr1	6419070	6419190	ACOT7:6419004:NM_181866_refseq	Design4_Design5	R	ACOT7
chr1	6420309	6420429	ACOT7:6420764:NM_181865_refseq	Design4_Design5	L	ACOT7
chr1	6445584	6445704	ACOT7:6445883:NM_181864_refseq	Design4_Design5	L	ACOT7
chr1	6447044	6447164	ACOT7:6445883:NM_181864_refseq	Design4_Design5	R	ACOT7
chr1	6453321	6453441	ACOT7:6453826:NM_007274_refseq	Design4_Design5	L	ACOT7
chr1	6453884	6454004	ACOT7:6453826:NM_007274_refseq	Design4_Design5	R	ACOT7
chr1	6478129	6478249	HES2:6479979:NM_019089_refseq	Design4_Design5	L	HES2
chr1	6480842	6480962	HES2:6479979:NM_019089_refseq	Design4_Design5	R	HES2
chr1	6483922	6484042	ESPN:6484847:NM_031475_refseq	Design4_Design5	L	ESPN
chr1	6490263	6490383	MIR4252:6489956:NR_036218_refseq	Design4_Design5	R	MIR4252
chr1	6490549	6490669	MIR4252:6489956:NR_036218_refseq	Design4_Design5	R	MIR4252
chr1	6525999	6526119	TNFRSF25:6526255:NM_001039664_refseq	Design4_Design5	L	TNFRSF25
chr1	6527382	6527502	TNFRSF25:6526255:NM_001039664_refseq	Design4_Design5	R	TNFRSF25
chr1	6544518	6544638	PLEKHG5:6546014:NM_001042665_refseq	Design4_Design5	L	PLEKHG5
chr1	6551454	6551574	PLEKHG5:6551761:NM_001042664_refseq	Design4_Design5	L	PLEKHG5
chr1	6552393	6552513	PLEKHG5:6551761:NM_001042664_refseq	Design4_Design5	R	PLEKHG5
chr1	6557000	6557120	PLEKHG5:6557484:NM_001042663_refseq	Design4_Design5	L	PLEKHG5
chr1	6558382	6558502	PLEKHG5:6557484:NM_001042663_refseq	Design4_Design5	R	PLEKHG5
chr1	6579357	6579477	PLEKHG5:6580121:NM_198681_refseq	Design4_Design5	L	PLEKHG5
chr1	6581451	6581571	PLEKHG5:6580121:NM_198681_refseq	Design4_Design5	R	PLEKHG5
chr1	6614708	6614828	TAS1R1:6615337:NM_138697_refseq	Design4_Design5	L	TAS1R1
chr1	6639559	6639679	ZBTB48:6640050:NM_001278647_refseq	Design4_Design5	L	ZBTB48
chr1	6640213	6640333	ZBTB48:6640050:NM_001278647_refseq	Design4_Design5	R	ZBTB48
chr1	6662015	6662135	KLHL21:6662958:NM_014851_refseq	Design4_Design5	L	KLHL21
chr1	6672571	6672691	PHF13:6673755:NM_153812_refseq	Design4_Design5	L	PHF13
chr1	6683737	6683857	THAP3:6684924:NM_001195752_refseq	Design4_Design5	L	THAP3
chr1	6760940	6761060	DNAJC11:6761966:NM_018198_refseq	Design4_Design5	L	DNAJC11
chr1	6762024	6762144	DNAJC11:6761966:NM_018198_refseq	Design4_Design5	R	DNAJC11
chr1	6844947	6845067	CAMTA1:6845383:NM_001195563_refseq	Design4_Design5	L	CAMTA1
chr1	6846321	6846441	CAMTA1:6845383:NM_001195563_refseq	Design4_Design5	R	CAMTA1
chr1	7723401	7723521	RF17858_Exon_L1:7724200:RF17858_Exon_L1_exon_negctrl	Design4_Design5	L	RF17858_Exon_L1
chr1	7724485	7724605	RF17858_Exon_L1:7724200:RF17858_Exon_L1_exon_negctrl	Design4_Design5	R	RF17858_Exon_L1
chr1	7830938	7831058	VAMP3:7831328:NM_004781_refseq	Design4_Design5	L	VAMP3
chr1	7831449	7831569	VAMP3:7831328:NM_004781_refseq	Design4_Design5	R	VAMP3
chr1	7845095	7845215	PER3:7844488:NM_001289861_refseq	Design4_Design5	R	PER3
chr1	7913062	7913182	UTS2:7913551:NM_006786_refseq	Design4_Design5	L	UTS2
chr1	8002561	8002681	TNFRSF9:8003225:NM_001561_refseq	Design4_Design5	L	TNFRSF9
chr1	8021333	8021453	PARK7:8021713:NM_001123377_refseq	Design4_Design5	L	PARK7
chr1	8022964	8023084	PARK7:8021713:NM_001123377_refseq	Design4_Design5	R	PARK7
chr1	8084889	8085009	ERRFI1:8086393:NM_018948_refseq	Design4_Design5	L	ERRFI1
chr1	8087714	8087834	ERRFI1:8086393:NM_018948_refseq	Design4_Design5	R	ERRFI1
chr1	8377987	8378107	SLC45A1:8378144:NM_001080397_refseq	Design4_Design5	L	SLC45A1
chr1	8379494	8379614	SLC45A1:8378144:NM_001080397_refseq	Design4_Design5	R	SLC45A1
chr1	8482716	8482836	RERE:8483747:NM_001042682_refseq	Design4_Design5	L	RERE
chr1	8484536	8484656	RERE:8483747:NM_001042682_refseq	Design4_Design5	R	RERE
chr1	8877464	8877584	RERE:8877699:NM_001042681_refseq	Design4_Design5	L	RERE
chr1	8877756	8877876	RERE:8877699:NM_001042681_refseq	Design4_Design5	R	RERE
chr1	8926494	8926614	MIR6728:8926649:NR_106786_refseq	Design4_Design5	L	MIR6728
chr1	8927892	8928012	MIR6728:8926649:NR_106786_refseq	Design4_Design5	R	MIR6728
chr1	8938714	8938834	ENO1-AS1:8938893:NR_038351_refseq	Design4_Design5	L	ENO1-AS1
chr1	8939118	8939238	ENO1-AS1:8938893:NR_038351_refseq	Design4_Design5	R	ENO1-AS1
chr1	9005743	9005863	CA6:9005892:NM_001215_refseq	Design4_Design5	L	CA6
chr1	9006708	9006828	CA6:9005892:NM_001215_refseq	Design4_Design5	R	CA6
chr1	9086062	9086182	SLC2A7:9086404:NM_207420_refseq	Design4_Design5	L	SLC2A7
chr1	9086630	9086750	SLC2A7:9086404:NM_207420_refseq	Design4_Design5	R	SLC2A7
chr1	9129579	9129699	SLC2A5:9129887:NM_001135585_refseq	Design4_Design5	L	SLC2A5
chr1	9130947	9131067	SLC2A5:9129887:NM_001135585_refseq	Design4_Design5	R	SLC2A5
chr1	9188731	9188851	GPR157:9189229:NM_024980_refseq	Design4_Design5	L	GPR157
chr1	9189396	9189516	GPR157:9189229:NM_024980_refseq	Design4_Design5	R	GPR157
chr1	9201678	9201798	rs35103478:9202538:rs35103478_HepG2_C_gwas	Design4_Design5	L	rs35103478
chr1	9203620	9203740	rs35103478:9202538:rs35103478_HepG2_C_gwas	Design4_Design5	R	rs35103478
chr1	9210705	9210825	MIR34A:9211836:NR_029610_refseq	Design4_Design5	L	MIR34A
chr1	9294533	9294653	H6PD:9294862:NM_004285_refseq	Design4_Design5	L	H6PD
chr1	9299667	9299787	H6PD:9299902:NM_001282587_refseq	Design4_Design5	L	H6PD
chr1	9299907	9300027	H6PD:9299902:NM_001282587_refseq	Design4_Design5	R	H6PD
chr1	9351785	9351905	SPSB1:9352940:NM_025106_refseq	Design4_Design5	L	SPSB1
chr1	9600092	9600212	SLC25A33:9599527:NM_032315_refseq	Design4_Design5	R	SLC25A33
chr1	9646990	9647110	TMEM201:9648931:NM_001010866_refseq	Design4_Design5	L	TMEM201
chr1	9648973	9649093	TMEM201:9648931:NM_001010866_refseq	Design4_Design5	R	TMEM201
chr1	9714435	9714555	PIK3CD-AS1:9714644:NR_027045_refseq	Design4_Design5	L	PIK3CD-AS1
chr1	9747376	9747496	PIK3CD-AS2:9747632:NR_126366_refseq	Design4_Design5	L	PIK3CD-AS2
chr1	9883177	9883297	CLSTN1:9884584:NM_001009566_refseq	Design4_Design5	L	CLSTN1
chr1	9884710	9884830	CLSTN1:9884584:NM_001009566_refseq	Design4_Design5	R	CLSTN1
chr1	9969342	9969462	CTNNBIP1:9970316:NM_001012329_refseq	Design4_Design5	L	CTNNBIP1
chr1	10002698	10002818	LZIC:10002826:NM_032368_refseq__NMNAT1:10002980:NM_001297778_refseq	Design4_Design5	L	LZIC
chr1	10003416	10003536	LZIC:10002826:NM_032368_refseq__NMNAT1:10002980:NM_001297778_refseq	Design4_Design5	R	LZIC
chr1	10057011	10057131	RBP7:10057254:NM_052960_refseq	Design4_Design5	L	RBP7
chr1	10057323	10057443	RBP7:10057254:NM_052960_refseq	Design4_Design5	R	RBP7
chr1	10092731	10092851	UBE4B:10093040:NM_001105562_refseq	Design4_Design5	L	UBE4B
chr1	10093206	10093326	UBE4B:10093040:NM_001105562_refseq	Design4_Design5	R	UBE4B
chr1	10270204	10270324	KIF1B:10270763:NM_015074_refseq	Design4_Design5	L	KIF1B
chr1	10271447	10271567	KIF1B:10270763:NM_015074_refseq	Design4_Design5	R	KIF1B
chr1	10367824	10367944	RF26138_Intron_L1:10368571:RF26138_Intron_L1_intron_negctrls	Design4_Design5	L	RF26138_Intron_L1
chr1	10368747	10368867	RF26138_Intron_L1:10368571:RF26138_Intron_L1_intron_negctrls	Design4_Design5	R	RF26138_Intron_L1
chr1	10459130	10459250	PGD:10459048:NM_001304451_refseq	Design4_Design5	R	PGD
chr1	10489449	10489569	APITD1:10490158:NM_199294_refseq__APITD1-CORT:10490158:NM_001243768_refseq	Design4_Design5	L	APITD1
chr1	10508115	10508235	CORT:10509775:NM_001302_refseq	Design4_Design5	L	CORT
chr1	10509998	10510118	CORT:10509775:NM_001302_refseq	Design4_Design5	R	CORT
chr1	10534830	10534950	PEX14:10535002:NM_004565_refseq	Design4_Design5	L	PEX14
chr1	10535294	10535414	PEX14:10535002:NM_004565_refseq	Design4_Design5	R	PEX14
chr1	10579517	10579637	rs2056417:10581658:rs2056417_All_gwas	Design4_Design5	L	rs2056417
chr1	10581922	10582042	rs2056417:10581658:rs2056417_All_gwas	Design4_Design5	R	rs2056417
chr1	10797642	10797762	rs880315:10796866:rs880315_Blood_pressure_gwas	Design4_Design5	R	rs880315
chr1	10798855	10798975	rs12046278:10799577:rs12046278_Systolic_blood_pressure_gwas	Design4_Design5	L	rs12046278
chr1	10856164	10856284	CASZ1:10856733:NM_001079843_refseq	Design4_Design5	L	CASZ1
chr1	10856763	10856883	CASZ1:10856733:NM_001079843_refseq	Design4_Design5	R	CASZ1
chr1	11042200	11042320	C1orf127:11042094:NM_001170754_refseq	Design4_Design5	R	C1orf127
chr1	11073969	11074089	TARDBP:11072678:NM_007375_refseq	Design4_Design5	R	TARDBP
chr1	11106834	11106954	MASP2:11107296:NM_006610_refseq	Design4_Design5	L	MASP2
chr1	11119319	11119439	SRM:11120091:NM_003132_refseq	Design4_Design5	L	SRM
chr1	11159245	11159365	EXOSC10:11159967:NM_001001998_refseq	Design4_Design5	L	EXOSC10
chr1	11160077	11160197	EXOSC10:11159967:NM_001001998_refseq	Design4_Design5	R	EXOSC10
chr1	11203818	11203938	MTOR-AS1:11203954:NR_046600_refseq	Design4_Design5	L	MTOR-AS1
chr1	11204606	11204726	MTOR-AS1:11203954:NR_046600_refseq	Design4_Design5	R	MTOR-AS1
chr1	11248983	11249103	ANGPTL7:11249345:NM_021146_refseq	Design4_Design5	L	ANGPTL7
chr1	11250796	11250916	ANGPTL7:11249345:NM_021146_refseq	Design4_Design5	R	ANGPTL7
chr1	11322105	11322225	MTOR:11322608:NM_004958_refseq	Design4_Design5	L	MTOR
chr1	11322801	11322921	MTOR:11322608:NM_004958_refseq	Design4_Design5	R	MTOR
chr1	11333692	11333812	UBIAD1:11333254:NM_013319_refseq	Design4_Design5	R	UBIAD1
chr1	11538961	11539081	PTCHD2:11539294:NM_020780_refseq	Design4_Design5	L	PTCHD2
chr1	11539706	11539826	PTCHD2:11539294:NM_020780_refseq	Design4_Design5	R	PTCHD2
chr1	11713479	11713599	FBXO2:11714888:NM_012168_refseq__FBXO44:11714431:NM_001014765_refseq	Design4_Design5	L	FBXO2
chr1	11715982	11716102	FBXO2:11714888:NM_012168_refseq__FBXO44:11714431:NM_001014765_refseq	Design4_Design5	R	FBXO2
chr1	11721651	11721771	FBXO6:11724149:NM_018438_refseq	Design4_Design5	L	FBXO6
chr1	11724188	11724308	FBXO6:11724149:NM_018438_refseq	Design4_Design5	R	FBXO6
