name2	name	chrom	strand	txStart	txEnd	probe_id	THP1_nLPS	THP1_wLPS	pval
AAK1	NM_014911	chr2	-	69685126	69870977	NM_014911_refseq	40.2785075	28.518879	0.433342632
AAMDC	NM_024684	chr11	+	77532207	77583398	NM_024684_refseq	0	0	1
AAMP	NM_001087	chr2	-	219128851	219134932	NM_001087_refseq	0	0	1
AAMP	NM_001302545	chr2	-	219128851	219134932	NM_001302545_refseq	2.764393	3.3430735	0.761481106
AANAT	NM_001088	chr17	+	74463629	74466199	NM_001088_refseq	0	0	1
AANAT	NM_001166579	chr17	+	74449432	74466199	NM_001166579_refseq	3.0929	1.3344295	0.231695247
AANAT	NR_110548	chr17	+	74463629	74466199	NR_110548_refseq	0.8213175	1.7394345	0.572188904
AAR2	NM_001271874	chr20	+	34824338	34844863	NM_001271874_refseq	0	0	1
AAR2	NM_015511	chr20	+	34824338	34844863	NM_015511_refseq	10.1200205	15.018643	0.48921562
AARD	NM_001025357	chr8	+	117950463	117956239	NM_001025357_refseq	0	0.001665	0.946064351
AARS	NM_001605	chr16	-	70286296	70323412	NM_001605_refseq	22.0285425	20.409636	0.834438198
AARS2	NM_020745	chr6	-	44266462	44281063	NM_020745_refseq	3.3542005	4.577871	0.570787538
AARSD1	NM_001261434	chr17	-	41102542	41116515	NM_001261434_refseq	0	0	1
AASDH	NM_001286668	chr4	-	57204450	57253674	NM_001286668_refseq	0	0	1
AASDH	NM_001286669	chr4	-	57204450	57253674	NM_001286669_refseq	0	0	1
AASDH	NM_001286670	chr4	-	57204450	57253674	NM_001286670_refseq	0	0	1
AASDH	NM_001286671	chr4	-	57204450	57253674	NM_001286671_refseq	0	0	1
AASDH	NM_001286672	chr4	-	57215125	57253674	NM_001286672_refseq	0.2158145	0	0.439726187
AASDH	NM_181806	chr4	-	57204450	57253674	NM_181806_refseq	0	0	1
AASDHPPT	NM_015423	chr11	+	105948291	105969419	NM_015423_refseq	9.3765355	12.3144025	0.675796185
AASS	NM_005763	chr7	-	121713597	121784344	NM_005763_refseq	0.002323	0	0.935770255
AATBC	NR_026961	chr21	-	45225638	45232448	NR_026961_refseq	1.3259485	0.886162	0.68800026
AATF	NM_012138	chr17	+	35306174	35414171	NM_012138_refseq	8.1048355	7.75154	0.906480576
AATK	NM_001080395	chr17	-	79091095	79139872	NM_001080395_refseq	1.528259	1.7736255	0.860351024
AATK	NM_004920	chr17	-	79091095	79105748	NM_004920_refseq	0	0	1
AATK-AS1	NR_027255	chr17	+	79139306	79156964	NR_027255_refseq	0	0	1
ABAT	NM_000663	chr16	+	8806825	8878432	NM_000663_refseq	2.1598185	1.8501675	0.813882181
ABAT	NM_001127448	chr16	+	8814572	8878432	NM_001127448_refseq	0	0	1
ABAT	NM_020686	chr16	+	8768443	8878432	NM_020686_refseq	0	0	1
ABCA1	NM_005502	chr9	-	107543283	107690527	NM_005502_refseq	9.40031	21.7383795	0.084826041
ABCA10	NM_080282	chr17	-	67144147	67240956	NM_080282_refseq	0.0705025	0.1287155	0.856483214
ABCA11P	NR_002451	chr4	-	419223	467998	NR_002451_refseq	0.654437	0.952346	0.75707462
ABCA12	NM_015657	chr2	-	215796265	215896810	NM_015657_refseq	0	0	1
ABCA12	NM_173076	chr2	-	215796265	216003151	NM_173076_refseq	0	0	1
ABCA12	NR_103740	chr2	-	215796265	216003151	NR_103740_refseq	0.026139	0.226242	0.552127393
ABCA13	NM_152701	chr7	+	48211056	48687091	NM_152701_refseq	1.845041	0.92012	0.586503765
ABCA17P	NR_003574	chr16	+	2390922	2476700	NR_003574_refseq	0	0.131761	0.548418676
ABCA2	NM_001606	chr9	-	139901685	139922740	NM_001606_refseq	3.848292	1.5893065	0.311491597
ABCA2	NM_212533	chr9	-	139901685	139923374	NM_212533_refseq	0	0.025266	0.792238034
ABCA3	NM_001089	chr16	-	2325878	2390747	NM_001089_refseq	2.618497	1.8909805	0.61487121
ABCA4	NM_000350	chr1	-	94458393	94586705	NM_000350_refseq	0.002998	0.131094	0.578279907
ABCA5	NM_018672	chr17	-	67240575	67311774	NM_018672_refseq	0.2716625	0.1285735	0.745624653
ABCA5	NM_172232	chr17	-	67240575	67323323	NM_172232_refseq	0	0	1
ABCA6	NM_080284	chr17	-	67074846	67138015	NM_080284_refseq	0.14648	0.398296	0.63318863
ABCA7	NM_019112	chr19	+	1040101	1065570	NM_019112_refseq	0.5019525	0.303709	0.754310753
ABCA8	NM_001288985	chr17	-	66863427	66951533	NM_001288985_refseq	0.001239	0	0.953068345
ABCA8	NM_001288986	chr17	-	66863427	66951533	NM_001288986_refseq	0	0	1
ABCA8	NM_007168	chr17	-	66863427	66951533	NM_007168_refseq	0	0	1
ABCA9	NM_080283	chr17	-	66970772	67057136	NM_080283_refseq	0.010625	0.0154915	0.967038465
ABCA9-AS1	NR_126414	chr17	+	67000854	67014464	NR_126414_refseq	0	0	1
ABCB1	NM_000927	chr7	-	87133178	87342639	NM_000927_refseq	0.790611	1.9470195	0.321909535
ABCB10	NM_012089	chr1	-	229652328	229694442	NM_012089_refseq	2.3991375	3.3089415	0.63622716
ABCB11	NM_003742	chr2	-	169779448	169887833	NM_003742_refseq	0	0.0691295	0.663354874
ABCB4	NM_000443	chr7	-	87031360	87105019	NM_000443_refseq	0	0	1
ABCB4	NM_018849	chr7	-	87031360	87105019	NM_018849_refseq	3.306653	3.7604035	0.830205304
ABCB4	NM_018850	chr7	-	87031360	87105019	NM_018850_refseq	0	0	1
ABCB5	NM_001163941	chr7	+	20655244	20796637	NM_001163941_refseq	0	0	1
ABCB5	NM_001163942	chr7	+	20686965	20700017	NM_001163942_refseq	0	0	1
ABCB5	NM_001163993	chr7	+	20686965	20707187	NM_001163993_refseq	0	0	1
ABCB5	NM_178559	chr7	+	20686965	20796637	NM_178559_refseq	0	0	1
ABCB6	NM_005689	chr2	-	220074487	220083712	NM_005689_refseq	0.080537	0.195203	0.758812223
ABCB7	NM_001271696	chrX	-	74273006	74376175	NM_001271696_refseq	0	0	1
ABCB7	NM_001271697	chrX	-	74273006	74376175	NM_001271697_refseq	0	0	1
ABCB7	NM_001271698	chrX	-	74273006	74376175	NM_001271698_refseq	0	0	1
ABCB7	NM_001271699	chrX	-	74273006	74376175	NM_001271699_refseq	0	0	1
ABCB7	NM_004299	chrX	-	74273006	74376175	NM_004299_refseq	1.4134395	1.5404725	0.928719413
ABCB8	NM_001282291	chr7	+	150725508	150744869	NM_001282291_refseq	10.023662	5.658808	0.306714153
ABCB8	NM_001282292	chr7	+	150725508	150744869	NM_001282292_refseq	0	0	1
ABCB8	NM_001282293	chr7	+	150725508	150744869	NM_001282293_refseq	0	0	1
ABCB8	NM_007188	chr7	+	150725508	150744869	NM_007188_refseq	0	0	1
ABCB9	NM_001243013	chr12	-	123413538	123451056	NM_001243013_refseq	0	0	1
ABCB9	NM_001243014	chr12	-	123405497	123451056	NM_001243014_refseq	0	0	1
ABCB9	NM_019624	chr12	-	123413538	123451056	NM_019624_refseq	0	0	1
ABCB9	NM_019625	chr12	-	123413538	123451056	NM_019625_refseq	0.882458	2.3362255	0.24919565
ABCB9	NM_203444	chr12	-	123409071	123451056	NM_203444_refseq	0	0	1
ABCC1	NM_004996	chr16	+	16043433	16236930	NM_004996_refseq	9.380991	12.084305	0.676447511
ABCC10	NM_001198934	chr6	+	43395291	43418163	NM_001198934_refseq	0	0	1
ABCC10	NM_033450	chr6	+	43399488	43418163	NM_033450_refseq	0	0	1
ABCC11	NM_032583	chr16	-	48200821	48269088	NM_032583_refseq	0	0	1
ABCC11	NM_033151	chr16	-	48200821	48266182	NM_033151_refseq	0.155719	0.0226295	0.636222761
ABCC11	NM_145186	chr16	-	48200821	48269088	NM_145186_refseq	0	0	1
ABCC12	NM_033226	chr16	-	48116883	48180681	NM_033226_refseq	0	0	1
ABCC13	NR_003087	chr21	+	15646119	15673692	NR_003087_refseq	0	0	1
ABCC13	NR_003088	chr21	+	15646119	15663706	NR_003088_refseq	0	0	1
ABCC2	NM_000392	chr10	+	101542354	101611949	NM_000392_refseq	0.2537725	0.6496185	0.564980573
ABCC3	NM_001144070	chr17	+	48712217	48745288	NM_001144070_refseq	0	0	1
ABCC3	NM_003786	chr17	+	48712217	48769063	NM_003786_refseq	21.1529	12.8205495	0.479662892
ABCC4	NM_001105515	chr13	-	95748024	95953700	NM_001105515_refseq	0.1453125	0.040156	0.720861651
ABCC4	NM_001301829	chr13	-	95672082	95953700	NM_001301829_refseq	0	0	1
ABCC4	NM_001301830	chr13	-	95748024	95953700	NM_001301830_refseq	0	0	1
ABCC4	NM_005845	chr13	-	95672082	95953700	NM_005845_refseq	1.572059	1.625453	0.989787126
ABCC5	NM_001023587	chr3	-	183701540	183735727	NM_001023587_refseq	0	0	1
ABCC5	NM_005688	chr3	-	183637723	183735727	NM_005688_refseq	0	0	1
ABCC5-AS1	NR_046570	chr3	+	183724125	183729207	NR_046570_refseq	0	0	1
ABCC6	NM_001079528	chr16	-	16315043	16317328	NM_001079528_refseq	0	0	1
ABCC6	NM_001171	chr16	-	16243421	16317328	NM_001171_refseq	15.8658645	16.3891885	0.943569924
ABCC6P1	NR_003569	chr16	+	18582569	18609607	NR_003569_refseq	4.0734405	3.00822	0.741693981
ABCC6P2	NR_023387	chr16	-	14916288	14918559	NR_023387_refseq	2.122573	0.9077555	0.348230206
ABCC8	NM_000352	chr11	-	17414431	17498392	NM_000352_refseq	0	0	1
ABCC8	NM_001287174	chr11	-	17414431	17498392	NM_001287174_refseq	0	0	1
ABCC9	NM_005691	chr12	-	21958107	22089628	NM_005691_refseq	0	0	1
ABCC9	NM_020297	chr12	-	21950323	22089628	NM_020297_refseq	0.1240165	0.05293	0.807025341
ABCD1	NM_000033	chrX	+	152990322	153010216	NM_000033_refseq	41.822014	29.661258	0.491294653
ABCD2	NM_005164	chr12	-	39945021	40013843	NM_005164_refseq	0	0	1
ABCD3	NM_001122674	chr1	+	94883932	94944260	NM_001122674_refseq	0	0	1
ABCD3	NM_002858	chr1	+	94883932	94984219	NM_002858_refseq	0.5655185	1.6258255	0.339522734
ABCD4	NM_005050	chr14	-	74751979	74769767	NM_005050_refseq	4.6808105	1.8287415	0.143503453
ABCD4	NR_003256	chr14	-	74751979	74769767	NR_003256_refseq	0	0	1
ABCE1	NM_001040876	chr4	+	146019155	146050676	NM_001040876_refseq	0	0	1
ABCE1	NM_002940	chr4	+	146019155	146050676	NM_002940_refseq	27.5416915	38.555465	0.556178503
ABCF1	NM_001025091	chr6	+	30539169	30559309	NM_001025091_refseq	0.616646	1.234024	0.54729332
ABCF1	NM_001090	chr6	+	30539169	30559309	NM_001090_refseq	0	0	1
ABCF2	NM_005692	chr7	-	150904922	150924460	NM_005692_refseq	0	0	1
ABCF2	NM_007189	chr7	-	150908569	150924460	NM_007189_refseq	14.6311675	21.547347	0.432832679
ABCF3	NM_018358	chr3	+	183903862	183911795	NM_018358_refseq	2.7421435	6.420133	0.129714573
ABCG1	NM_004915	chr21	+	43639266	43717354	NM_004915_refseq	0	0.207637	0.452470471
ABCG1	NM_016818	chr21	+	43639266	43717354	NM_016818_refseq	0	0	1
ABCG1	NM_207174	chr21	+	43640007	43717354	NM_207174_refseq	0	0	1
ABCG1	NM_207627	chr21	+	43619798	43717354	NM_207627_refseq	0.186214	0	0.472577567
ABCG1	NM_207628	chr21	+	43619921	43717354	NM_207628_refseq	0	0	1
ABCG1	NM_207629	chr21	+	43636186	43717354	NM_207629_refseq	0	0	1
ABCG2	NM_001257386	chr4	-	89011415	89152474	NM_001257386_refseq	0	0	1
ABCG2	NM_004827	chr4	-	89011415	89080011	NM_004827_refseq	0.0176275	0.0192655	0.991674221
ABCG4	NM_001142505	chr11	+	119020298	119033374	NM_001142505_refseq	0	0	1
ABCG4	NM_022169	chr11	+	119019749	119033374	NM_022169_refseq	0	0	1
ABCG5	NM_022436	chr2	-	44039610	44065958	NM_022436_refseq	0.705582	0.0155035	0.198552876
ABCG8	NM_022437	chr2	+	44066102	44105605	NM_022437_refseq	0	0	1
ABHD1	NM_032604	chr2	+	27346656	27353680	NM_032604_refseq	0	0	1
ABHD10	NM_001272069	chr3	+	111697722	111712215	NM_001272069_refseq	2.1017995	2.397031	0.878249195
ABHD10	NM_018394	chr3	+	111697722	111712215	NM_018394_refseq	0	0	1
ABHD10	NR_073570	chr3	+	111697722	111712215	NR_073570_refseq	0	0	1
ABHD10	NR_073571	chr3	+	111697722	111712215	NR_073571_refseq	0	0	1
ABHD11	NM_001145364	chr7	-	73150424	73153184	NM_001145364_refseq	0	0	1
ABHD11	NM_001301058	chr7	-	73150424	73153197	NM_001301058_refseq	0	0	1
ABHD11	NM_148912	chr7	-	73150426	73153184	NM_148912_refseq	0	0	1
ABHD11	NM_148913	chr7	-	73150426	73153184	NM_148913_refseq	0	0	1
ABHD11	NR_026910	chr7	-	73150426	73153184	NR_026910_refseq	-1	-1	-1
ABHD11	NR_026912	chr7	-	73150426	73153190	NR_026912_refseq	0	0	1
ABHD11-AS1	NR_026690	chr7	+	73149398	73150330	NR_026690_refseq	0.935175	0.5576585	0.666664118
ABHD12	NM_001042472	chr20	-	25280833	25371618	NM_001042472_refseq	19.897242	19.5288655	0.934368018
ABHD12	NM_015600	chr20	-	25275378	25371618	NM_015600_refseq	0.533263	1.551916	0.347622255
ABHD12B	NM_001206673	chr14	+	51338877	51371688	NM_001206673_refseq	0.8192865	0.895259	0.947460973
ABHD12B	NM_181814	chr14	+	51338877	51371688	NM_181814_refseq	0	0	1
ABHD13	NM_032859	chr13	+	108870762	108886603	NM_032859_refseq	2.7055975	2.1971035	0.731276646
ABHD14A	NM_015407	chr3	+	52009041	52015216	NM_015407_refseq	3.669281	3.9485055	0.995379087
ABHD14A-ACY1	NR_037192	chr3	+	52009041	52023218	NR_037192_refseq	-1	-1	-1
ABHD14B	NM_001146314	chr3	-	52002525	52008646	NM_001146314_refseq	0	0	1
ABHD14B	NM_001254753	chr3	-	52002525	52008646	NM_001254753_refseq	0	0	1
ABHD14B	NM_032750	chr3	-	52002525	52008646	NM_032750_refseq	4.648054	10.348845	0.268196554
ABHD15	NM_198147	chr17	-	27887688	27894042	NM_198147_refseq	1.8699715	1.4280885	0.719083614
ABHD16A	NM_001177515	chr6	-	31654725	31670850	NM_001177515_refseq	0	0	1
ABHD16A	NM_021160	chr6	-	31654725	31671137	NM_021160_refseq	0	0	1
ABHD16A	NR_033488	chr6	-	31654725	31670850	NR_033488_refseq	3.9932225	4.4621355	0.850994226
ABHD16A	NR_033489	chr6	-	31654725	31671137	NR_033489_refseq	0	0	1
ABHD16B	NM_080622	chr20	+	62492565	62494341	NM_080622_refseq	1.849967	0	0.029240708
ABHD17A	NM_001130111	chr19	-	1876974	1885518	NM_001130111_refseq	0	0	1
ABHD17A	NM_031213	chr19	-	1876974	1885518	NM_031213_refseq	17.9973415	12.867758	0.429668912
ABHD17B	NM_001025780	chr9	-	74480067	74526148	NM_001025780_refseq	2.3255925	2.0828045	0.856352471
ABHD17B	NM_016014	chr9	-	74477367	74526148	NM_016014_refseq	0	0	1
ABHD17C	NM_021214	chr15	+	80987651	81047962	NM_021214_refseq	9.088618	5.161468	0.362986549
ABHD2	NM_007011	chr15	+	89631380	89745591	NM_007011_refseq	49.6933365	64.913717	0.648117976
ABHD2	NM_152924	chr15	+	89631380	89745591	NM_152924_refseq	0	0	1
ABHD3	NM_138340	chr18	-	19230857	19284766	NM_138340_refseq	1.709393	1.5282385	0.874953159
ABHD4	NM_022060	chr14	+	23067146	23081265	NM_022060_refseq	23.580625	15.52831	0.337997965
ABHD5	NM_016006	chr3	+	43732374	43764217	NM_016006_refseq	0.9676985	1.1348155	0.88886786
ABHD6	NM_020676	chr3	+	58223258	58280461	NM_020676_refseq	0	0	1
ABHD8	NM_024527	chr19	-	17402939	17414282	NM_024527_refseq	4.5875575	6.3657715	0.579006983
ABI1	NM_001012750	chr10	-	27035524	27150016	NM_001012750_refseq	0	0	1
ABI1	NM_001012751	chr10	-	27035524	27150016	NM_001012751_refseq	0	0	1
ABI1	NM_001012752	chr10	-	27035524	27150016	NM_001012752_refseq	0	0	1
ABI1	NM_001178116	chr10	-	27035524	27150016	NM_001178116_refseq	0	0	1
ABI1	NM_001178119	chr10	-	27035524	27150016	NM_001178119_refseq	0	0	1
ABI1	NM_001178120	chr10	-	27035524	27150016	NM_001178120_refseq	0	0	1
ABI1	NM_001178121	chr10	-	27035524	27150016	NM_001178121_refseq	0	0	1
ABI1	NM_001178122	chr10	-	27035524	27150016	NM_001178122_refseq	0	0	1
ABI1	NM_001178123	chr10	-	27035524	27150016	NM_001178123_refseq	0	0	1
ABI1	NM_001178124	chr10	-	27035524	27150016	NM_001178124_refseq	0	0	1
ABI1	NM_001178125	chr10	-	27035524	27150016	NM_001178125_refseq	0	0	1
ABI1	NM_005470	chr10	-	27035524	27150016	NM_005470_refseq	10.612693	11.600386	0.856478888
ABI2	NM_001282925	chr2	+	204192961	204296896	NM_001282925_refseq	3.4103205	2.680822	0.679052949
ABI2	NM_001282926	chr2	+	204192961	204296896	NM_001282926_refseq	0	0	1
ABI2	NM_001282927	chr2	+	204231606	204296896	NM_001282927_refseq	0	0	1
ABI2	NM_001282932	chr2	+	204192961	204296896	NM_001282932_refseq	0	0	1
ABI2	NM_005759	chr2	+	204192961	204296896	NM_005759_refseq	0	0	1
ABI3	NM_001135186	chr17	+	47287588	47300587	NM_001135186_refseq	0	0	1
ABI3	NM_016428	chr17	+	47287588	47300587	NM_016428_refseq	4.266962	1.5755015	0.119120874
ABI3BP	NM_015429	chr3	-	100468178	100712334	NM_015429_refseq	1.031784	0.284786	0.357450576
ABL1	NM_005157	chr9	+	133710641	133763062	NM_005157_refseq	0	0	1
ABL1	NM_007313	chr9	+	133589267	133763062	NM_007313_refseq	11.6952025	4.4317355	0.153924147
ABL2	NM_001136000	chr1	-	179068461	179112224	NM_001136000_refseq	0	0	1
ABL2	NM_001136001	chr1	-	179079715	179198819	NM_001136001_refseq	0.290404	0	0.370978024
ABL2	NM_001168236	chr1	-	179068461	179198819	NM_001168236_refseq	0	0	1
ABL2	NM_001168237	chr1	-	179068461	179198819	NM_001168237_refseq	0	0	1
ABL2	NM_001168238	chr1	-	179068461	179198819	NM_001168238_refseq	0	0	1
ABL2	NM_001168239	chr1	-	179068461	179112224	NM_001168239_refseq	0	0	1
ABL2	NM_005158	chr1	-	179068461	179112224	NM_005158_refseq	0	0	1
ABL2	NM_007314	chr1	-	179068461	179198819	NM_007314_refseq	7.270705	13.6518035	0.195395869
ABLIM1	NM_001003407	chr10	-	116190868	116444414	NM_001003407_refseq	0	0	1
ABLIM1	NM_001003408	chr10	-	116190868	116444414	NM_001003408_refseq	0	0	1
ABLIM1	NM_002313	chr10	-	116190868	116418058	NM_002313_refseq	0	0	1
ABLIM1	NM_006720	chr10	-	116190868	116286685	NM_006720_refseq	0	0	1
ABLIM2	NM_001130083	chr4	-	7967036	8160559	NM_001130083_refseq	0.069492	0.184722	0.747366405
ABLIM2	NM_001130084	chr4	-	7967036	8160559	NM_001130084_refseq	0	0	1
ABLIM2	NM_001130085	chr4	-	7967036	8160559	NM_001130085_refseq	0	0	1
ABLIM2	NM_001130086	chr4	-	7967036	8160559	NM_001130086_refseq	0	0	1
ABLIM2	NM_001130087	chr4	-	7967036	8160559	NM_001130087_refseq	0	0	1
ABLIM2	NM_001130088	chr4	-	8008747	8160559	NM_001130088_refseq	0	0	1
ABLIM2	NM_001286688	chr4	-	7967036	8073743	NM_001286688_refseq	0	0	1
ABLIM2	NM_032432	chr4	-	7967036	8160559	NM_032432_refseq	0	0	1
ABLIM3	NM_001301015	chr5	+	148521045	148640001	NM_001301015_refseq	2.240924	2.156612	0.940777716
ABLIM3	NM_001301018	chr5	+	148521571	148640001	NM_001301018_refseq	0	0	1
ABLIM3	NM_001301027	chr5	+	148521045	148640001	NM_001301027_refseq	0	0	1
ABLIM3	NM_001301028	chr5	+	148521045	148640001	NM_001301028_refseq	0	0	1
ABLIM3	NM_014945	chr5	+	148521045	148640001	NM_014945_refseq	0	0	1
ABO	NM_020469	chr9	-	136130562	136150630	NM_020469_refseq	0	0	1
ABR	NM_001092	chr17	-	906757	1012340	NM_001092_refseq	0	0	1
ABR	NM_001159746	chr17	-	906757	1090616	NM_001159746_refseq	0	0	1
ABR	NM_001256847	chr17	-	906757	935081	NM_001256847_refseq	0	0	1
ABR	NM_001282149	chr17	-	906757	982386	NM_001282149_refseq	0	0	1
ABR	NM_021962	chr17	-	906757	1083268	NM_021962_refseq	0	0	1
ABRA	NM_139166	chr8	-	107771710	107782472	NM_139166_refseq	3.2384455	2.3385855	0.665455376
ABRACL	NM_021243	chr6	+	139349818	139364439	NM_021243_refseq	19.791422	17.216354	0.741401379
ABT1	NM_013375	chr6	+	26597170	26600277	NM_013375_refseq	4.5105995	6.7131725	0.446921736
ABTB1	NM_032548	chr3	+	127391780	127399769	NM_032548_refseq	2.503616	3.379969	0.633260717
ABTB1	NM_172027	chr3	+	127391780	127399769	NM_172027_refseq	0	0	1
ABTB1	NR_033429	chr3	+	127391780	127399769	NR_033429_refseq	0	0	1
ABTB2	NM_145804	chr11	-	34172533	34379555	NM_145804_refseq	2.667557	9.192955	0.078459187
ACAA1	NM_001130410	chr3	-	38164200	38178733	NM_001130410_refseq	0	0	1
ACAA1	NM_001607	chr3	-	38164200	38178733	NM_001607_refseq	0	0	1
ACAA1	NR_024024	chr3	-	38164200	38178733	NR_024024_refseq	1.398205	0.982066	0.715519812
ACAA2	NM_006111	chr18	-	47309873	47340251	NM_006111_refseq	1.630812	4.8303045	0.077627551
ACACA	NM_198834	chr17	-	35441926	35766902	NM_198834_refseq	0	0	1
ACACA	NM_198836	chr17	-	35441926	35716059	NM_198836_refseq	0	0	1
ACACA	NM_198837	chr17	-	35441926	35656692	NM_198837_refseq	0	0	1
ACACA	NM_198838	chr17	-	35441926	35656692	NM_198838_refseq	0	0	1
ACACA	NM_198839	chr17	-	35441926	35766902	NM_198839_refseq	10.430675	10.7773465	0.970607007
ACACB	NM_001093	chr12	+	109577201	109706030	NM_001093_refseq	0.2948375	0.557597	0.698743713
ACAD10	NM_001136538	chr12	+	112123856	112194911	NM_001136538_refseq	2.888417	2.812803	0.951445759
ACAD10	NM_025247	chr12	+	112123856	112194911	NM_025247_refseq	0	0	1
ACAD11	NM_032169	chr3	-	132276981	132378975	NM_032169_refseq	0	0	1
ACAD8	NM_014384	chr11	+	134123433	134135746	NM_014384_refseq	2.04221	1.365231	0.605927696
ACAD9	NM_014049	chr3	+	128598332	128631957	NM_014049_refseq	0	0	1
ACAD9	NR_033426	chr3	+	128598332	128631957	NR_033426_refseq	3.400709	2.817215	0.737853314
ACADL	NM_001608	chr2	-	211052715	211090215	NM_001608_refseq	0	0	1
ACADM	NM_000016	chr1	+	76190031	76229363	NM_000016_refseq	0	0	1
ACADM	NM_001127328	chr1	+	76190031	76229363	NM_001127328_refseq	0	0	1
ACADM	NM_001286042	chr1	+	76190031	76229363	NM_001286042_refseq	0	0	1
ACADM	NM_001286043	chr1	+	76190031	76229363	NM_001286043_refseq	0	0	1
ACADM	NM_001286044	chr1	+	76190031	76229363	NM_001286044_refseq	0	0	1
ACADS	NM_000017	chr12	+	121163540	121177811	NM_000017_refseq	0.207197	0.8032885	0.405254134
ACADS	NM_001302554	chr12	+	121163540	121177811	NM_001302554_refseq	0.0413545	0	0.734084679
ACADSB	NM_001609	chr10	+	124768428	124817806	NM_001609_refseq	2.3130015	1.3617405	0.521925595
ACADVL	NM_000018	chr17	+	7123149	7128586	NM_000018_refseq	0	0	1
ACADVL	NM_001033859	chr17	+	7123149	7128586	NM_001033859_refseq	0	0	1
ACADVL	NM_001270447	chr17	+	7120443	7128586	NM_001270447_refseq	0	0	1
ACADVL	NM_001270448	chr17	+	7123149	7128586	NM_001270448_refseq	16.695595	0	0.012912309
ACAN	NM_001135	chr15	+	89346673	89418585	NM_001135_refseq	0	0	1
ACAN	NM_013227	chr15	+	89346673	89418585	NM_013227_refseq	0	0	1
ACAP1	NM_014716	chr17	+	7239847	7254793	NM_014716_refseq	1.102113	0.5459385	0.551418278
ACAP2	NM_012287	chr3	-	194995464	195163817	NM_012287_refseq	6.168955	5.055902	0.68314663
